id;code;course_type;name;jhi_desc;url;cover;cover_content_type;version;created_dt;created_by;start_dt;end_dt
1;Dollar Peru Innovative;SECTION;Rupee background;../fake-data/blob/hipster.txt;http://guy.com;../fake-data/blob/hipster.png;image/png;open-source;2021-07-18T04:26:40;bottom-line;2021-07-17T23:24:41;2021-07-18T12:06:28
2;Facilitator transition;PROGRAM;Tasty Ohio Awesome;../fake-data/blob/hipster.txt;https://daniela.org;../fake-data/blob/hipster.png;image/png;enable;2021-07-18T20:29:25;Architect users supply-chains;2021-07-18T14:46:27;2021-07-18T21:34:10
3;Function-based Bedfordshire;WEEK;fuchsia;../fake-data/blob/hipster.txt;https://yvette.com;../fake-data/blob/hipster.png;image/png;RAM;2021-07-18T00:33:02;relationships;2021-07-18T15:25:46;2021-07-18T11:55:29
4;Handcrafted;SPECIALIZATION;bandwidth Quality;../fake-data/blob/hipster.txt;https://alessandro.com;../fake-data/blob/hipster.png;image/png;Kids Burundi;2021-07-18T07:32:56;online copy;2021-07-18T11:44:40;2021-07-18T09:37:41
5;Bhutan Optimized payment;COURSE;neural-net Avon Car;../fake-data/blob/hipster.txt;http://luz.info;../fake-data/blob/hipster.png;image/png;THX;2021-07-18T01:30:31;invoice;2021-07-18T07:58:07;2021-07-18T03:28:14
6;Licensed Delaware Strategist;LECTURE;Metal;../fake-data/blob/hipster.txt;https://adolphus.net;../fake-data/blob/hipster.png;image/png;matrices SMS Metal;2021-07-18T20:36:04;Regional pink;2021-07-18T18:48:03;2021-07-18T03:02:36
7;quantify wireless Associate;LECTURE;Kids global Small;../fake-data/blob/hipster.txt;http://gerry.net;../fake-data/blob/hipster.png;image/png;product Tennessee;2021-07-18T10:56:47;generating emulation CSS;2021-07-18T20:34:25;2021-07-18T15:42:27
8;magenta administration;SPECIALIZATION;upward-trending Rubber web-readiness;../fake-data/blob/hipster.txt;http://cordia.biz;../fake-data/blob/hipster.png;image/png;Buckinghamshire;2021-07-18T20:41:03;Turnpike granular;2021-07-18T12:19:19;2021-07-18T15:21:03
9;eco-centric adapter;SECTION;Central Tasty Jan;../fake-data/blob/hipster.txt;http://dakota.name;../fake-data/blob/hipster.png;image/png;Facilitator;2021-07-17T23:18:17;Hollow challenge drive;2021-07-18T17:18:50;2021-07-18T19:15:18
10;salmon Cambridgeshire XML;LECTURE;Legacy Computers;../fake-data/blob/hipster.txt;http://ignacio.net;../fake-data/blob/hipster.png;image/png;Ouguiya Research;2021-07-18T10:19:26;Avon Trail;2021-07-18T14:41:26;2021-07-18T00:02:21
